player,salary,position,team,team_past_record
"Bumgarner, Madison",21882892,LHP,Arizona,0.457
"Marte, Ketel",11600000,2B,Arizona,0.457
"Ahmed, Nick",10375000,SS,Arizona,0.457
"Kelly, Merrill",8500000,RHP,Arizona,0.457
"Walker, Christian",6500000,1B,Arizona,0.457
"Melancon, Mark*",6000000,RHP,Arizona,0.457
"Gallen, Zac",5600000,RHP,Arizona,0.457
"Chafin, Andrew",5500000,LHP,Arizona,0.457
"Gurriel, Lourdes",5400000,OF,Arizona,0.457
"Davies, Zac",4700000,RHP,Arizona,0.457
"Kelly, Carson*",4275000,C,Arizona,0.457
"Longoria, Evan",4000000,3B,Arizona,0.457
"Castro, Miguel",3500000,RHP,Arizona,0.457
"Rojas, Josh",2575000,2B,Arizona,0.457
"McGough, Scott",2500000,RHP,Arizona,0.457
"Carroll, Corbin",1625000,OF,Arizona,0.457
"Lewis, Kyle",1610000,OF,Arizona,0.457
"Sulser, Cole",825000,RHP,Arizona,0.457
"Mantiply, Joe*",756000,LHP,Arizona,0.457
"Ginkel, Kevin",746600,RHP,Arizona,0.457
"Perdomo, Geraldo",738600,SS,Arizona,0.457
"McCarthy, Jake",735600,OF,Arizona,0.457
"Thomas, Alek",735200,OF,Arizona,0.457
"Nelson, Kyle",728900,LHP,Arizona,0.457
"Martin, Corbin*",728400,RHP,Arizona,0.457
"Herrera, Jose",724300,C,Arizona,0.457
"Jameson, Drey",723600,RHP,Arizona,0.457
"Nelson, Ryne",722700,RHP,Arizona,0.457
"Moreno, Gabriel",722500,C,Arizona,0.457
"Vargas, Carlos",721000,RHP,Arizona,0.457
"Robinson, Kristian**",720000,OF,Arizona,0.457
"Olson, Matt",21000000,1B,Atlanta,0.623
"Morton, Charlie",20000000,RHP,Atlanta,0.623
"Ozuna, Marcell",18000000,OF,Atlanta,0.623
"Acuna, Ronald",17000000,OF,Atlanta,0.623
"Iglesias, Raisel*",16000000,RHP,Atlanta,0.623
"Riley, Austin",15000000,3B,Atlanta,0.623
"Fried, Max",13500000,LHP,Atlanta,0.623
"Rosario, Eddie",9000000,OF,Atlanta,0.623
"D'Arnaud, Travis",8000000,C,Atlanta,0.623
"Albies, Ozzie",7000000,2B,Atlanta,0.623
"Yates, Kirby",6000000,RHP,Atlanta,0.623
"Harris, Michael",5000000,OF,Atlanta,0.623
"McHugh, Collin",5000000,RHP,Atlanta,0.623
"Minter, A.J.",4287500,LHP,Atlanta,0.623
"Murphy, Sean",4000000,C,Atlanta,0.623
"Pillar, Kevin",3000000,OF,Atlanta,0.623
"Jimenez, Joe",2765000,RHP,Atlanta,0.623
"Arcia, Orlando",2300000,SS,Atlanta,0.623
"Luetge, Lucas",1550000,LHP,Atlanta,0.623
"Chavez, Jesse",1200000,RHP,Atlanta,0.623
"Matzek, Tyler*",1200000,LHP,Atlanta,0.623
"Adrianza, Ehire",1000000,3B,Atlanta,0.623
"Strider, Spencer",1000000,RHP,Atlanta,0.623
"Anderson, Nick",875000,RHP,Atlanta,0.623
"Allard, Kolby*",750000,LHP,Atlanta,0.623
"Hilliard, Sam",750000,OF,Atlanta,0.623
"Tonkin, Michael",750000,RHP,Atlanta,0.623
"Wright, Kyle*",750000,RHP,Atlanta,0.623
"Ynoa, Huascar*",750000,RHP,Atlanta,0.623
"Lee, Dylan",730000,LHP,Atlanta,0.623
"Shuster, Jared",720000,LHP,Atlanta,0.623
"McCann, James*",12000000,C,Baltimore,0.512
"Gibson, Kyle",10000000,RHP,Baltimore,0.512
"Frazier, Adam",8000000,2B,Baltimore,0.512
"Santander, Anthony",7400000,OF,Baltimore,0.512
"Mullins II, Cedric",4100000,OF,Baltimore,0.512
"Hays, Austin",3200000,OF,Baltimore,0.512
"Givens, Mychal*",3000000,RHP,Baltimore,0.512
"Means, John*",2975000,LHP,Baltimore,0.512
"Mateo, Jorge",2000000,OF,Baltimore,0.512
"Voth, Austin",1850000,RHP,Baltimore,0.512
"Tate, Dillon*",1500000,RHP,Baltimore,0.512
"Coulombe, Daniel",1000000,LHP,Baltimore,0.512
"Bemboom, Anthony",900000,C,Baltimore,0.512
"Mountcastle, Ryan",738400,1B,Baltimore,0.512
"Irvin, Cole",737600,LHP,Baltimore,0.512
"Urias, Ramon",734700,2B,Baltimore,0.512
"Rutschman, Adley",733900,C,Baltimore,0.512
